,Abs. Location,Category,Color,Entry-Level,Identifier,Image Number,Other,Referring Expression,Rel. Location,Rel. Object,Size,Testset,prev_file,same,file,region,ref_a1,ref_a2,ref_a3,ref_h_a2,ref_h_a3,ref_h_nouns,ref_gentype
42,rightmost,man,,guy,537fe2c1d31907d16d002928,10772_6.jpg,,rightmost guy,,,,A,10743_3.jpg,False,10772,6,far right,person on far right,guy in red shirt on right,dude or persons on far right,dude or persons in red shirt on right,dude:persons,a1
45,,church,,building,537feda2d31907d16d002af6,10778_1.jpg,,building,,,,A,10772_6.jpg,False,10778,1,in middle,buildings in middle building,buildings in yellow building on right,bldg or church in middle building,bldg or church in yellow building on right,bldg:church,a1
48,,child-boy,red,shirt,537fc027d31907d16d0014f1,10798_1.jpg,,red shirt,,,,A,10778_1.jpg,False,10798,1,in middle,person in orange shirt,person in red shirt on left,kid or girl in orange shirt,kid or girl in red shirt on left,kid:girl,a1
51,left,horse,,horse,537fae01d31907d16d00006b,10834_4.jpg,,horse on the left,,,,A,10798_1.jpg,False,10834,4,on left,grass on left side,grass on left side in front,horse or men on left side,horse or men on left side in front,horse:men,a2
54,right,surfboard,,surfboard,537fc254d31907d16d001760,10923_3.jpg,,right surboard,,,,A,10834_4.jpg,False,10923,3,far right,chair on far right,black bag thing on far right,bag or board on far right,black bag or board thing on far right,bag:board,a1
57,front,fruit,,corn,537faf74d31907d16d0001e8,11205_1.jpg,,corn in front,,,,A,10923_3.jpg,False,11205,1,bottom left,rocks in lower left,rocks in front center bottom left,strip or group in lower left,strip or group in front center bottom left,strip:group,a1
60,,mountain,,mountain,537fbfbbd31907d16d001467,11233_2.jpg,,mountain,,,,A,11205_1.jpg,False,11233,2,top right,mountain on top right,mountain in background houses on right,mountain or houses on top right,mountain or houses in background houses on right,mountain:houses,a2
63,middle,surfboard,green,snowboard,538393cc793954ad2d000118,11252_4.jpg,,green snowboard the lady in middle is holding,,,,A,11233_2.jpg,False,11252,4,in middle,girl in front center,blue thing in middle red shirt,book or pants in front center,blue thing in middle red book or pants,book:pants,a2
66,right,statue,,pig,537fb00fd31907d16d0002a7,11318_4.jpg,,right pig,,,,A,11252_4.jpg,False,11318,4,far right,woman on far right,dark brown thing on far right,kids or animal on far right,dark brown thing on far right,kids:animal,a1
69,lower,kitchen-pot,,tupperware,538390c0793954ad2d000018,11511_5.jpg,,tupperware lower left,,,,A,11318_4.jpg,False,11511,5,bottom left,bottom left in front,white car in middle bottom left,bottom left in front,white board or boat in middle bottom left,board:boat,a2
72,,dish,,plate,537fbd78d31907d16d0011d6,11539_1.jpg,,"anywhere in the ""plate",,,,A,11511_5.jpg,False,11539,1,bottom right,plant pot on right,plant pot on table in front,cake or plate pot on right,cake or plate pot on table in front,cake:plate,a1
75,top,glass,,glass,537fcf33d31907d16d002069,11547_11.jpg,,top glass,,,,A,11539_1.jpg,False,11547,11,in middle,man in front center,man in black hat on right,pot or cake in front center,pot or cake in black hat on right,pot:cake,a1
78,,horse,,horse,537fc024d31907d16d0014ed,11605_5.jpg,,anywhere on horse,,,,A,11547_11.jpg,False,11605,5,in middle,person in front middle,person in middle horse on right,horse or men in front middle,horse or men in middle horse on right,horse:men,a2
81,,fence,,area,537fc190d31907d16d001677,11623_6.jpg,light,light colored area on the left side next to pool table,prep_on,side,,A,11605_5.jpg,False,11623,6,on left,thing on left side,green thing on far left side,thing on left stand or boat,green thing on far left stand or boat,stand:boat,a2
84,,flower,,flower,537fb917d31907d16d000c96,11626_1.jpg,,flower bottom left,,,,A,11623_6.jpg,False,11626,1,bottom left,bottom left in front,guy in front bottom left corner,bottom left in front,flower or girls in front bottom left corner,flower:girls,a1
87,right,flower,,flower,538385b3ffd52689140000cc,11626_3.jpg,,flower right one,,,,A,11626_1.jpg,False,11626,3,top right,tree trunk on right,big tree trunk on right side,flowers or leaves trunk on right,big flowers or leaves trunk on right side,flowers:leaves,a2
90,,handcraft,,,537fc1e2d31907d16d0016d9,11679_1.jpg,,inside what ever that is,,,,A,11626_3.jpg,False,11679,1,in middle,wood floor in middle,anywhere in middle dark doorway center,square or floor floor in middle,anywhere in middle dark square or floor center,square:floor,a1
93,,cactus,,cactus,537fc336d31907d16d001863,11736_6.jpg,,small cactus bottom left,,,,A,11679_1.jpg,False,11736,6,bottom left,person on bottom left,person in front guy on left,cactus or pot on bottom left,cactus or pot in front guy on left,cactus:pot,a2
96,,kitchen-pot,,spoon,53838835ffd526891400034a,11737_5.jpg,,spoon,,,,A,11736_6.jpg,False,11737,5,bottom left,thing on left corner,green thing on bottom left corner,thing on left corner,green thing on bottom left corner,table:sweater,a2
99,,building,,strip,537fadc7d31907d16d000036,1177_4.jpg,,strip of grey on right middle on the building,prep_on,building,,A,11737_5.jpg,False,1177,4,top right,building on right side,anywhere in white building on right,house or building on right side,anywhere in white house or building on right,house:building,a1
102,,ship,white,ship,53838bbfffd52689140007bf,11785_3.jpg,,white ship,,,,A,1177_4.jpg,False,11785,3,in middle,city buildings in middle,water in middle flag on right,buildings or houses buildings in middle,buildings or houses in middle flag on right,buildings:houses,a3
105,,trees,,tree,537fbfd7d31907d16d001484,11853_5.jpg,,trees behind bow,prep_behind,bow,,A,11785_3.jpg,False,11853,5,on right,palm tree on right,trees in orange thing on right,animal or stand tree on right,animal or stand in orange thing on right,animal:stand,a1
108,fourth,seal,,seal,537fb8ead31907d16d000c64,11963_6.jpg,,fourth seal from left of center row,prep_from,left,,A,11853_5.jpg,False,11963,6,in middle,rock in middle right,big rock on right in middle,animal or mtn in middle right,big animal or mtn on right in middle,animal:mtn,a2
111,top,window,blue,curtain,537fbfcad31907d16d001479,1201_1.jpg,,blue curtains top,,,,A,11963_6.jpg,False,1201,1,top right,very top right side,very top window on right side,very top right strip or window,very top strip or window on right side,strip:window,a2
114,,cloth,,clothes,537fc679d31907d16d001c45,12142_6.jpg,,clothes to right and behind guy,prep_behind,guy,,A,1201_1.jpg,False,12142,6,far right,guy on far right,blue shirt guy on far right,seal or light on far right,blue seal or light guy on far right,seal:light,a1
117,,trees,,tree,538385a8ffd52689140000c5,1216_1.jpg,,tree,,,,A,12142_6.jpg,False,1216,1,top right,palm tree on right,tall palm tree trunk on right,trees or tree tree on right,tall trees or tree tree trunk on right,trees:tree,a1
120,,woman,black,person,537fe2ded31907d16d00293b,12190_8.jpg,,person in all black,,,,A,1216_1.jpg,False,12190,8,in middle,man in middle person,man in middle person on left,row or lady in middle person,row or lady in middle person on left,row:lady,a2
123,,door,,door,537fe748d31907d16d002a4e,1226_1.jpg,,door,,,,A,12190_8.jpg,False,1226,1,top right,building on far right,brick wall on far right window,door or curtains on far right,door or curtains wall on far right window,door:curtains,a1
126,,trunk,,trunk,537feb56d31907d16d002aac,12361_6.jpg,,trunk bottom left,,,,A,1226_1.jpg,False,12361,6,bottom left,very bottom left corner,very bottom left woman in front,very bottom left corner,very bottom left plants or flowers in front,plants:flowers,a1
129,middle,hat,white,hat,537fc731d31907d16d001cf5,12366_7.jpg,,plain white hat in middle,,,,A,12361_6.jpg,False,12366,7,in middle,man in front middle,man in red thing on left,mans or book in front middle,mans or book in red thing on left,mans:book,a2
132,,cup,,mug,538392bf793954ad2d0000b8,12486_4.jpg,,mug covered by brown bottle,,,,A,12366_7.jpg,False,12486,4,bottom left,flower pot on left,woman in front tire on left,glass or cup pot on left,glass or cup in front tire on left,glass:cup,a2
135,second,umbrella,,umbrella,53839338793954ad2d0000e1,1248_4.jpg,,the second umbrella from the right,prep_from,right,,A,12486_4.jpg,False,1248,4,lower right,guy in lower right,white shirt guy in lower right,umbrella or hut in lower right,white umbrella or hut guy in lower right,umbrella:hut,a1
138,,train,,train,538386c8ffd52689140001c0,12559_2.jpg,,train,,,,A,1248_4.jpg,False,12559,2,upper left,floor area upper left,floor railing tall building on left,train or vehicle area upper left,train or vehicle railing tall building on left,train:vehicle,a1
141,,flower,,flower,537fd446d31907d16d00219e,12723_1.jpg,,flower,,,,A,12559_2.jpg,False,12723,1,in middle,flower pot in middle,white thing in red flower pot,book or flower pot in middle,white thing in red book or flower pot,book:flower,a1
144,bottom,chair,,chair,538386c9ffd52689140001c4,12761_1.jpg,,chair on left oabove bottom one,,,,A,12723_1.jpg,False,12761,1,bottom left,window on far left,window on far left side table,frame or chair on far left,frame or chair on far left side table,frame:chair,a2
147,left,door,,gate,538385c1ffd52689140000d5,12765_8.jpg,,left gate,,,,A,12761_1.jpg,False,12765,8,bottom left,tree trunk on left,tree in middle window on left,doorway or frame trunk on left,doorway or frame in middle window on left,doorway:frame,a2
150,,painting,,painting,537fe92dd31907d16d002a79,12846_5.jpg,,painting left,,,,A,12765_8.jpg,False,12846,5,upper left,picture frame upper left,small picture on wall upper left,painting or picture frame upper left,small painting or picture on wall upper left,painting:picture,a1
153,,dog,,dog,537fafb0d31907d16d00022e,12896_2.jpg,,dog,,,,A,12846_5.jpg,False,12896,2,lower right,person on far right,woman in red thing on right,screen or spiders on far right,screen or spiders in red thing on right,screen:spiders,a1
156,,painting,,picture,537fbea6d31907d16d001326,12901_10.jpg,,picture above dark skinned guy,prep_above,dark,,A,12896_2.jpg,False,12901,10,top left,mans head on left,yellow wall on left mans head,painting or picture head on left,yellow painting or picture on left mans head,painting:picture,a2
159,middle,hut,,house,538387bfffd52689140002b7,12919_9.jpg,,house in center,,,,A,12901_10.jpg,False,12919,9,in middle,wood thing in middle,brown thing in middle rock wall,wood or house thing in middle,brown thing in middle wood or house wall,wood:house,a2
162,,balloon,green,ballon,538392bb793954ad2d0000b6,12956_4.jpg,,the green ballon,,,,A,12919_9.jpg,False,12956,4,far left,hat on far left,girl in red hat on left,hat or fruit on far left,hat or fruit in red hat on left,hat:fruit,a1
165,,rafter,,Guy,537fc1dad31907d16d0016d3,12982_8.jpg,,Guy sitting down.,,,,A,12956_4.jpg,False,12982,8,on left,guy in front left,light blue shirt guy on left,horse or chick in front left,horse or chick blue shirt guy on left,horse:chick,a2
168,,flag,,flag,537fd011d31907d16d0020ac,1300_9.jpg,,flags,,,,A,12982_8.jpg,False,1300,9,top left,light pole in middle,light pole in middle top left,railing or light pole in middle,railing or light pole in middle top left,railing:light,a2
171,,painting,,frame,537fce36d31907d16d002038,1316_1.jpg,,frame picture,,,,A,1300_9.jpg,False,1316,1,top right,tree on far right,white wall on far right corner,painting or picture on far right,white painting or picture on far right corner,painting:picture,a1
174,,flower,,,537fb917d31907d16d000c97,13185_1.jpg,,middle of flower thingy,,,,A,1316_1.jpg,False,13185,1,top left,plant thing on left,kid in black thing on left,leaves or flower thing on left,leaves or flower in black thing on left,leaves:flower,a1
177,,lake,,water,537fb83dd31907d16d000ba3,13215_4.jpg,,water below mountains,prep_below,mountain,,A,13185_1.jpg,False,13215,4,on left,cloud on left side,dark area in background on left,cloud or mountains on left side,dark cloud or mountains in background on left,cloud:mountains,a1
180,,building,,building,537fe326d31907d16d00296d,1323_8.jpg,,buidling,,,,A,13215_4.jpg,False,1323,8,top anywhere,brick building in middle,yellow building top anywhere in middle,church or bldg building in middle,yellow church or bldg top anywhere in middle,church:bldg,a1
183,,eagle,,bird,538385f0ffd52689140000f3,13558_1.jpg,,bird,,,,A,1323_8.jpg,False,13558,1,in middle,rock in middle left,man in middle rock on left,bird or hills in middle left,bird or hills in middle rock on left,bird:hills,a1
186,,train,,train,538393b3793954ad2d00010e,13757_4.jpg,,train,,,,A,13558_1.jpg,False,13757,4,on left,rock thing on left,rock in white thing on left,book or table thing on left,book or table in white thing on left,book:table,a1
189,,bus,,bus,537fd5b9d31907d16d0021fe,13788_2.jpg,,Bus,,,,A,13757_4.jpg,False,13788,2,in front,van vehicle bus heads,dark gray van in blue sky,bus or train vehicle bus heads,dark gray bus or train in blue sky,bus:train,a1
192,left,bed,,bed,537fb79bd31907d16d000ae8,1387_2.jpg,,left bed,,,,A,13788_2.jpg,False,1387,2,on left,window on left bed,window on left rock wall bed,bed or strip on left bed,bed or strip on left rock wall bed,bed:strip,a1
195,,painting,,picture,53839cc2793954ad2d000320,1387_6.jpg,,picture on the wall,prep_on,wall,,A,1387_2.jpg,False,1387,6,top right,light post on right,glass in yellow wall on right,painting or picture post on right,painting or picture in yellow wall on right,painting:picture,a1
198,,trunk,,tree,537fc0eed31907d16d0015cb,14269_1.jpg,,tree right side far right,,,,A,1387_6.jpg,False,14269,1,far right,tree on right corner,tree trunk on far right corner,trunk or waterfall on right corner,trunk or waterfall trunk on far right corner,trunk:waterfall,a1
201,,door,,door,537fb7ddd31907d16d000b30,14607_1.jpg,,door,,,,A,14269_1.jpg,False,14607,1,on left,lamp post on table,lamp post tan hat on table,frame or table post on table,frame or table post tan hat on table,frame:table,a1
204,,waterfall,,waterfall,537fc205d31907d16d001701,14649_3.jpg,,waterfall,,,,A,14607_1.jpg,False,14649,3,top right,light pole on right,man in white hat on right,curtain or cloud pole on right,curtain or cloud in white hat on right,curtain:cloud,a1
207,left,parrot,,parrot,537fb5ded31907d16d000905,14836_1.jpg,,left parrot,,,,A,14649_3.jpg,False,14836,1,left corner,person on left corner,woman in red shirt on left,fruit or shirt on left corner,fruit or shirt in red shirt on left,fruit:shirt,a1
210,middle,column,,pillar,537fc164d31907d16d001646,15230_5.jpg,,Pillar middle,,,,A,14836_1.jpg,False,15230,5,top left,plant pot on left,person in white wall on left,curtain or pillar pot on left,curtain or pillar in white wall on left,curtain:pillar,a2
213,,child-girl,,girl,537fc0d0d31907d16d0015b4,15298_1.jpg,,girl,,,,A,15230_5.jpg,False,15298,1,top right,girls head girl face,girls head girl in red face,lady or head head girl face,lady or head head girl in red face,lady:head,a1
216,,seal,,seal,537fc1a4d31907d16d001689,15309_1.jpg,,seal,,,,A,15298_1.jpg,False,15309,1,on left,guy in front left,guy in white thing on left,seal or animal in front left,seal or animal in white thing on left,seal:animal,a1
219,,house,,house,538387d7ffd52689140002d2,15315_4.jpg,,house,,,,A,15309_1.jpg,False,15315,4,top middle,brick building in middle,yellow building on right in middle,house or box building in middle,yellow house or box on right in middle,house:box,a1
222,,eagle,,bird,537fb8a9d31907d16d000c15,1532_1.jpg,,bird,,,,A,15315_4.jpg,False,1532,1,in middle,guy in middle face,guy in middle area on left,beds or heads in middle face,beds or heads in middle area on left,beds:heads,a1
225,middle,plant,,plant,537fc047d31907d16d001518,15390_6.jpg,,plant middle,,,,A,1532_1.jpg,False,15390,6,in middle,palm tree in middle,palm tree on right in middle,shrub or bush tree in middle,shrub or bush tree on right in middle,shrub:bush,a2
228,,hut,,,537fafced31907d16d000255,15422_2.jpg,,right,,,,A,15390_6.jpg,False,15422,2,top right,building on right corner,tall building on top right corner,hill or house on right corner,tall hill or house on top right corner,hill:house,a1
231,,fence,,fence,537faf6ad31907d16d0001e3,15429_6.jpg,,fence,,,,A,15422_2.jpg,False,15429,6,bottom right,people on right corner,water people on bottom right corner,brick or steps on right corner,brick or steps people on bottom right corner,brick:steps,a2
234,right,book,green,book,53838812ffd5268914000325,15482_5.jpg,,green book lowest right,,,,A,15429_6.jpg,False,15482,5,bottom right,very bottom right corner,blue thing on bottom right corner,very bottom right corner,blue thing on bottom right corner,desk:flag,a2
237,,book,orange,book,537fd68fd31907d16d002248,15533_5.jpg,,orange book,,,,A,15482_5.jpg,False,15533,5,in middle,man in orange shirt,man in red shirt mans head,guys or boy in orange shirt,guys or boy in red shirt mans head,guys:boy,a3
240,middle,house,,building,537fe38cd31907d16d0029a3,15565_10.jpg,,broken down building in the middle,,,,A,15533_5.jpg,False,15565,10,on left,brick building on left,big building on left in middle,house or building building on left,big house or building on left in middle,house:building,a2
243,upper,book,,,537fb087d31907d16d000346,15612_5.jpg,,upper part,,,,A,15565_10.jpg,False,15612,5,far right,hat on far right,white hat on far right side,jacket or hat on far right,white jacket or hat on far right side,jacket:hat,a1
246,,boat,,boat,537fd0c5d31907d16d0020d6,15631_8.jpg,,boat,,,,A,15612_5.jpg,False,15631,8,bottom right,man on bottom right,man in white thing on right,boat or cake on bottom right,boat or cake in white thing on right,boat:cake,a1
249,left,handcraft,,stand,5383858affd52689140000ae,15710_5.jpg,,left most picture stand,,,,A,15631_8.jpg,False,15710,5,top left,rock thing on left,building on very top left side,gate or way thing on left,gate or way on very top left side,gate:way,a1
252,middle,trees,,tree,537fca8ad31907d16d001f1c,15722_3.jpg,,TREES IN THE MIDDLE,,,,A,15710_5.jpg,False,15722,3,on right,tree on right building,tall building on right in middle,buildings or stairs on right building,tall buildings or stairs on right in middle,buildings:stairs,a1
255,,handcraft,,papers,538387cdffd52689140002c7,15769_14.jpg,,papers on right wall above chalkboard,prep_above,chalkboard,,A,15722_3.jpg,False,15769,14,top right,wall on top right,small boat on top right side,chairs or paper on top right,small chairs or paper on top right side,chairs:paper,a2
258,,eagle,,bird,5383967f793954ad2d0001b2,15964_5.jpg,,bird sittin,,,,A,15769_14.jpg,False,15964,5,in middle,water bottle in middle,person in middle big rock center,child or camera bottle in middle,child or camera in middle big rock center,child:camera,a1
261,right,paper,,paper,537fb8b7d31907d16d000c26,16078_4.jpg,,right paper on desk,prep_on,desk,,A,15964_5.jpg,False,16078,4,on left,girl in front left,girl in white shirt on left,flag or strip in front left,flag or strip in white shirt on left,flag:strip,a2
264,,chair,,chair,537fb7aed31907d16d000afa,16091_2.jpg,,chair,,,,A,16078_4.jpg,False,16091,2,bottom right,hat on right corner,white hat on bottom right corner,chair or kid on right corner,white chair or kid on bottom right corner,chair:kid,a2
267,,house,,storefront,5383a5ac951f1e2b4000001e,16106_7.jpg,,storefront,,,,A,16091_2.jpg,False,16106,7,bottom left,window on far left,small area on far left corner,gate or frame on far left,small gate or frame on far left corner,gate:frame,a2
270,,dog,,dog,5383871affd5268914000215,16141_1.jpg,,dog,,,,A,16106_7.jpg,False,16141,1,bottom right,thing on right corner,dark brown thing on right corner,thing on right corner,dark brown thing on right corner,animal:lady,a2
273,,lake,,water,537fc106d31907d16d0015e5,16414_3.jpg,,water,,,,A,16141_1.jpg,False,16414,3,very bottom,ground very bottom left,ground very bottom sand lower left,sand or water very bottom left,sand or water very bottom sand lower left,sand:water,a1
276,left,car,white,car,537fe3b9d31907d16d0029b2,16417_7.jpg,,white car on left,,,,A,16414_3.jpg,False,16417,7,bottom left,car on left corner,glass in white car on left,car or glass on left corner,car or glass in white car on left,car:glass,a2
279,,horse,,horse,537fcb7ad31907d16d001f74,16530_1.jpg,,horse,,,,A,16417_7.jpg,False,16530,1,bottom right,wood floor in front,wood floor bottom right in front,roof or way floor in front,roof or way floor bottom right in front,roof:way,a2
282,,bus,,bus,538387c6ffd52689140002be,16591_9.jpg,,bus door between two right brown thingys,,,,A,16530_1.jpg,False,16591,9,on right,window on far right,black bag on far right side,bag or pants on far right,black bag or pants on far right side,bag:pants,a1
285,top,hill,,,537fccedd31907d16d001fe3,16592_2.jpg,,top middle,,,,A,16591_9.jpg,False,16592,2,top right,palm tree leaves top,palm tree trunk thing in background,frame or plant tree leaves top,frame or plant tree trunk thing in background,frame:plant,a1
288,,cloth,,redshirt,5383933c793954ad2d0000e4,16599_7.jpg,,redshirt,,,,A,16592_2.jpg,False,16599,7,bottom left,person in front left,person in red shirt on left,pants or shirt in front left,pants or shirt in red shirt on left,pants:shirt,a1
291,right,car,,car,537fcb62d31907d16d001f6e,16866_2.jpg,,right car,,,,A,16599_7.jpg,False,16866,2,top right,snow on far right,white car on far right side,stand or car on far right,white stand or car on far right side,stand:car,a2
294,left,llama,,animal,537fc19cd31907d16d001682,1742_2.jpg,,left animal,,,,A,16866_2.jpg,False,1742,2,bottom left,trees on left corner,big dark green trees on left,animal or vehicle on left corner,big dark green animal or vehicle on left,animal:vehicle,a2
297,left,bed,,bed,537fe54cd31907d16d002a02,17454_1.jpg,,left bed,,,,A,1742_2.jpg,False,17454,1,far left,anywhere on far left,white area on far left bed,anywhere on far left,white bed or spiders on far left bed,bed:spiders,a1
300,,river,,sea,537fb84fd31907d16d000bb5,17606_4.jpg,,sea above man in boat's head,prep_above,man,,A,17454_1.jpg,False,17606,4,top right,water on far right,big bush on far right side,pile or water on far right,big pile or water on far right side,pile:water,a2
303,front,horse,,horse,537fb755d31907d16d000a95,17723_3.jpg,,the horse in front,,,,A,17606_4.jpg,False,17723,3,far right,woman on far right,black thing on far right side,horse or screen on far right,black thing on far right horse or screen,horse:screen,a1
306,,cactus,,cactus,537fc15ed31907d16d00163f,1778_2.jpg,,center cactus,,,,A,17723_3.jpg,False,1778,2,in middle,tree trunk in middle,red shirt guy in middle tree,wood or bike trunk in middle,red wood or bike guy in middle tree,wood:bike,a2
309,,train,,train,537fd6efd31907d16d002273,17804_1.jpg,,train,,,,A,1778_2.jpg,False,17804,1,left corner,tree on left corner,tree trunk on far left corner,tree or shadow on left corner,tree or shadow trunk on far left corner,tree:shadow,a1
312,left,hill,,mountain,537fccedd31907d16d001fe4,1806_10.jpg,,mountains upper left,,,,A,17804_1.jpg,False,1806,10,top left,window on top left,mountain on far left window top,flag or land on top left,flag or land on far left window top,flag:land,a2
315,,cloth,,pants,537fe885d31907d16d002a66,18085_5.jpg,,pants,,,,A,1806_10.jpg,False,18085,5,bottom right,guy in front right,white shirt guy in front right,pants or bag in front right,white pants or bag guy in front right,pants:bag,a2
318,left,building,,building,537fb71fd31907d16d000a5a,18202_2.jpg,,the building on the left.,,,,A,18085_5.jpg,False,18202,2,top left,brick wall on left,brick wall on top left side,clock or building wall on left,clock or building wall on top left side,clock:building,a1
321,,lamp,,post,53838579ffd526891400009e,18225_7.jpg,light,the light post being the blonde lady in red,,,,A,18202_2.jpg,False,18225,7,top left,lamp post on left,lamp post on left white shirt,pillar or post post on left,pillar or post post on left white shirt,pillar:post,a3
324,,man,,person,537fbfa5d31907d16d00144c,18269_6.jpg,,left person,,,,A,18225_7.jpg,False,18269,6,far left,person on far left,black shirt guy on far left,pants or cap on far left,black pants or cap guy on far left,pants:cap,a2
327,left,column,,pillar,537feff1d31907d16d002b36,18328_3.jpg,,left pillar,,,,A,18269_6.jpg,False,18328,3,top left,wall on left side,top left side door on wall,doorway or door on left side,top left doorway or door door on wall,doorway:door,a1
330,right,cactus,,cactus,537fd0f4d31907d16d0020e1,1836_1.jpg,,right cactus,,,,A,18328_3.jpg,False,1836,1,bottom right,very bottom right side,very bottom right side in front,very bottom right cactus or picture,very bottom right cactus or picture in front,cactus:picture,a1
333,,cup,,mug,538386c8ffd52689140001bf,18378_4.jpg,,coffee mug in front of yellow mug,,,,A,1836_1.jpg,False,18378,4,bottom left,ground in front left,ground in black thing on left,cup or glass in front left,cup or glass in black thing on left,cup:glass,a2
336,middle,umbrella,,umbrella,537fd589d31907d16d0021ef,18405_13.jpg,,middle umbrella,,,,A,18378_4.jpg,False,18405,13,in background,woman in orange shirt,woman in red shirt on right,umbrella or cap in orange shirt,umbrella or cap in red shirt on right,umbrella:cap,a1
339,right,rafter,,rafter,537fd36ed31907d16d00217a,18414_6.jpg,,rafter farthest right,,,,A,18405_13.jpg,False,18414,6,on right,guy on far right,guy in red shirt on right,lady or light on far right,lady or light in red shirt on right,lady:light,a1
342,,bicycle,,bike,537fb725d31907d16d000a66,1841_1.jpg,,bike,,,,A,18414_6.jpg,False,1841,1,on right,bike tire on right,bike tire on far right side,bike or food tire on right,bike or food tire on far right side,bike:food,a2
345,right,plant,green,,537fae3bd31907d16d000098,18503_8.jpg,,green thiong bottom right,,,,A,1841_1.jpg,False,18503,8,bottom right,very bottom right side,woman in black thing on right,very bottom right way or flowers,way or flowers in black thing on right,way:flowers,a2
348,middle,bottle,,bottle,537fb7d5d31907d16d000b27,18662_13.jpg,,bottle in the middle with red label,prep_with,label,,A,18503_8.jpg,False,18662,13,in middle,person in orange shirt,white shirt guy in middle person,bottle or van in orange shirt,white bottle or van guy in middle person,bottle:van,a2
351,,surfboard,,board,537fb971d31907d16d000d00,18733_9.jpg,,leftmost board,,,,A,18662_13.jpg,False,18733,9,far left,person on far left,tree trunk on far left side,sun or waves on far left,sun or waves trunk on far left side,sun:waves,a1
354,,cactus,,formation,537faf3fd31907d16d0001b5,1875_2.jpg,,center cacti formation,,,,A,18733_9.jpg,False,1875,2,in front,person in front tire,person in front tire on right,cactus or group in front tire,cactus or group in front tire on right,cactus:group,a1
