,Testset,file,region,gold,google,saia,google_glen
453,A,19791,4,middle guy,all way to left,guy in front,yellow shirt
456,A,19791,7,guy on the right,okay so close to right,person on right,person second from right
459,A,19821,6,empty vase right of flower vase,man in middle,building on left,all way to you can see
462,A,19868,1,pot on left,woman on left,second from left,woman on left
465,A,19970,1,dark table on left,that looks like,tree on left,that looks like it
468,A,19976,2,bird,click on left,guy in front,left
471,A,19979,11,right building,tree on right,ground bottom right,top right
474,A,20090,2,small tree,tree on right,tree on right,palm tree
477,A,20317,1,center thing over face,big rock wall,building on right,brown patch of image
480,A,20421,1,right tree,palm tree on right,tree on right,palm tree
483,A,20421,3,left palm,tree on left,tree on left,palm tree
486,A,20481,5,horse,horse closest to left,person on right,middle
489,A,2050,10,man in red sweater,person in red shirt guy,tree on left,person in red shirt
492,A,20534,2,building,sky,people,sky
495,A,2059,1,umbrella,tree on right of screen,person in red,tree
498,A,20689,1,right middle of screen,bottom,green,anything but that is
501,A,20707,2,water fall,trees in middle of center,any part of people,yellow thing
504,A,20754,3,green,empty glass that is holding,tree on left,green
507,A,20984,2,dog,bottom,bottom right corner,bottom
510,A,21152,1,top,water on top right,any part of picture,water
513,A,21172,2,hat,hat,man in middle,hat
516,A,21238,4,shirt,sand bottom right,ground at bottom,bottom
519,A,21681,1,girl,ground,people,ground
522,A,21686,1,blue,person,guy in blue,person
525,A,21918,5,1st brown horse from left,brown thing on left,tree on left,brown thing on left side
528,A,22147,3,middle horse,black bag on left,tree on left,brown horse
531,A,22170,10,water between middle and front guy,second from right,person on left,lady in white wall on right
534,A,22288,12,left bottle rack,window on left,person on right,window on left
537,A,22304,9,hat,guy on left,second from left,left
540,A,22325,5,Boat with Flat roof,any part of table,water on right,any part of table
543,A,22346,1,red figure,guy in middle,guy on left,far right
546,A,22346,2,white guy,person on left,tree on left,on left
549,A,22371,2,rightmost chair,closest to right,tree on right,bottom right
552,A,22371,9,black rectangle on desk,that looks like,trees on left,that looks like it
555,A,22463,1,animal,trees,water,trees
558,A,22485,4,top right bed,very top right,person on left,very top right
561,A,22539,4,horse on right,woman in front,tree on right,woman in front
564,A,22588,2,black animal,grass to left,person on left,upper left
567,A,2265,2,nuts,bottom,anywhere,bottom
570,A,22714,1,man,guy,palm tree on left,sky
573,A,22732,1,flag,patch of blue,guy in back,top
576,A,22774,2,stone man in middle,woman with hands his face,building on right,2nd person in middle
579,A,22835,5,guy 2nd to left,person in middle,person in red,person in red shirt
582,A,22861,3,left smug looking girl,person on left,guy on left,person standing on left
585,A,22903,1,boy in front,guy in front,water,guy in front
588,A,22906,1,water fall middle,sky upper part of water,snow on right,sky upper right
591,A,22912,1,green mountainside,mountain on right,bottom right corner,bottom right
594,A,23017,7,horse top of arch,white thing on far right,person on right,click on far right
597,A,23061,1,animal on ground,palm tree on left,tree on left,tree on left
600,A,23082,13,sorry about before - plant on porch outside,tree on right,wall on left,small patch of picture on far right corner
603,A,23147,2,left window,tree on left of pic,tree on left,lower left
606,A,23297,9,person in yellow on the right,person on left,tree on right,person in red shirt on left
609,A,23349,13,he is laughing,man on left,tree on right,man on left
612,A,23352,8,van left,people on left,person on left,white wall
615,A,23386,5,American flag,lamp post on left,sky top right,top left
618,A,23639,3,red person right,group of people,person on right,group of people
621,A,23932,5,tall right cactus,rock on right,tree on right,rock on right
624,A,23964,5,rightside of mountain,grassy area on right,trees on right,trees on right
627,A,24028,3,center waterfall,all way to left,tree on left,left corner
630,A,24199,2,van,green,man on right,right
633,A,2434,1,building,sky,building,sky
636,A,24413,1,boat,water,building,water
639,A,24662,2,her sweater,that is holding,any part of pic,that is
642,A,2516,8,second story deck,top of people,people on right,top of people
645,A,25249,1,statues in the middle,person in middle,tree on right,any person in middle
648,A,25286,3,2nd white glass from left,that is holding,second from left,white thing that is holding
651,A,25648,1,bird,guy,tree on left,guy
654,A,25920,1,building,big building,any part of people,building
657,A,25950,1,flag,red,guy in blue shirt,red
660,A,25,5,right tree,person on right,sky top right,on right
663,A,2608,2,tower left,tall building on left,very bottom left,far left
666,A,26238,7,palm tree over man in white t,tree on left,tree on left,tree on far left side of pic
669,A,2623,4,pole closest,lamp post second from left,top left corner,on left
672,A,26269,3,tree,tree leaves at top,any part of people,tree
675,A,26299,2,hat,girl,trees on right,girl
678,A,26524,1,A restaurant,palm tree,any part of people,palm tree
681,A,26527,9,the pic above the word KYOTO,okay so like,window on left,okay so like this in middle
684,A,26588,13,sign on blue shelf at back,white wall on far right,person on right,group of picture on far right
687,A,26589,10,door,closest to you can see,tree on right,window
690,A,2662,3,boat with red bottom top left,water to left,person on left,water on far left of picture
693,A,26723,4,most right chair,2nd from right,tree on right,2nd from right
696,A,26733,3,tree on the right,big tree on right,tree on right,tree on right corner
699,A,2677,2,brown part of door,green thing on left,tree on right,green thing on left
702,A,27053,14,seals in back,sand on far right,tree on right,sand on right
705,A,27216,5,plant on the right,click on right,person on left,red jacket on right
708,A,27224,5,gren asbove sign,trees on left,ground bottom left,trees on left
711,A,27256,4,right bottom corner,bottom right of picture,tree on right,bottom right corner
714,A,27330,3,houses on far right,rocks on right,tree on left,yellow house on right
717,A,27330,4,building on left,yellow thing on left side,person on right,rocks on left
720,A,27331,1,fruits,people,people,people
723,A,27343,4,corner,bottom left side,bottom left corner,bottom
726,A,27370,8,car left,2nd from left,person on left,bottom left
729,A,27405,7,planter top right below window,bush on right,trees on right,top right side of screen
732,A,27459,2,hill,trees on right corner,trees,trees
735,A,27465,2,left most mountain,rock on left,tree on left,rock on left
738,A,27520,3,plant third closest on top,green bush on right,person on left,green bush on right side
741,A,2833,7,building on right,white building on right side,man on right,building on right
744,A,2859,7,flag right,white thing on right,person on right,top right
747,A,2867,3,lower level warerfall on the left,palm tree on far left,sky top right,palm tree trunk on far left
750,A,2872,2,far left waterfall,man on left,tree on left,man on left
753,A,2882,2,flowers in the middle top,group of picture,guy in blue,people are standing in center
756,A,2957,4,right botom corner,water,person on right,water to right
759,A,2992,1,cactus,top left,any person in front,rocks
762,A,30064,2,road just to left of bike,bottom right corner,ground at bottom left corner,red thing on bottom right corner
765,A,30156,3,white car,black bag next to right,window on right,white car
768,A,3028,2,hut,trees,palm tree on right,trees
771,A,30328,1,lake,water on right,water on right,water
774,A,3046,4,tree second from right,palm tree on right,tree on right,palm tree on right
777,A,30486,2,balloon on far right,sky only,woman in red,any part of sky
780,A,30775,1,koala,water to us on left,tree on left,water
783,A,30777,1,koala,left,any part of building,left
786,A,30778,4,koala,girl in middle with hat,tree on right,face
789,A,31008,2,sandcastle,water,any part of people,water
792,A,3100,3,leaf above fruit,top right corner,grass on right,top right corner
795,A,3102,6,bird left,man on left,trees on left,left corner
798,A,3103,2,bird,man on left,tree on left,left
801,A,31066,1,red car,yellow car,guy in front,yellow car
804,A,31093,4,middle building,okay so like,tree on right,tall building
807,A,3117,2,bird,guy in front,tree on right,green
810,A,31262,4,picnic table,table next to us,trees on left,that is
813,A,3152,7,scoreboard,white thing on left,person on right,left
816,A,31554,2,bike,that is,person on left,bike
819,A,31583,3,palm tree on the right,palm tree trunk on right,tree on right,palm tree trunk on right
822,A,31875,2,blue bottom,ground at bottom right,bottom right corner,bottom right
825,A,32036,3,middle chandlier,rocks at top,second from left,top left
828,A,32061,2,building on left,white building on left,building on left,building on left
831,A,32135,5,thin strip of water middle,grass to right,ground at bottom,grass area next to right
834,A,32159,1,surfboard,wall on left,man on left,left
837,A,32248,4,the flag in the middle,all way to last one,person in back,all way to last one
840,A,3238,4,duran above boy,tree on left,grass on right,tree on left
843,A,3238,5,yellow melons top right (those were cocoa beans lol),wall on right,grass on right,brick wall on right of three guys hand side
846,A,32454,3,treeline,trees,trees on right,sky
849,A,32670,3,tree trunk far right,tree trunk on right,tree on right,tree on right corner
852,A,32825,4,first umbrella,sky at top,tree on left,sky top
855,A,32825,5,the last umbrella top,i it is on right,tree on right,sky top right corner
858,A,33370,5,Bush on far left,tree on left,person on left,tree on left corner
861,A,3337,4,the green boat with the blue bottom closer to us,2nd from right,mountain in middle,brown thing next to you that is on right corner
864,A,3409,2,stutues,sky,people,sky
867,A,35623,2,right child in hat,guy in black shirt,ground bottom right,guy in black shirt
870,A,35641,1,umbrella,sky upper left,building on left,left
873,A,35659,2,hill with doors in it,building,any part of picture,okay so door on right
876,A,35728,2,right boat,closest to right,trees on right,on right
879,A,35748,2,bottom left corner,trees on left,palm tree on left,trees on left
882,A,35804,1,The tree on the left.,tree on left,tree on left,tree on left of picture
885,A,35857,1,right corner design,blue wall,okay so any person,wall on right
888,A,35878,1,tower,road,man in front,road
891,A,3619,8,white llama in front,mountain on left side,tree on left,mountain on left side
894,A,3690,8,closest bike,people on far left side,guy in front,bottom left
897,A,37089,1,statue,face,man on right,face
900,A,37091,5,middle building,tallest building on right,building on right,tallest building
903,A,37098,3,top car above guy in car,okay so two guys head,trees on left,okay so two guys head down
906,A,37145,3,building,building,any part of building,building
909,A,37192,1,biggest building,sorry that has spiders,building on left,tallest building
912,A,37203,1,bus,white on right,building on right,right
915,A,37256,5,train far right,building on right,trees on right,building on right
918,A,37438,1,water,grass at very bottom right,water at bottom,water
921,A,37441,1,water,water bottom right,water at bottom,water
924,A,37557,1,car,road,trees,road
927,A,37610,4,rock formation on the back but only left side,big rock on left,sky top left,2nd from left side of big rock on top
930,A,37781,2,guy left,third person on left,person on left,on left
933,A,3781,2,top part of mountain,trees on right,any part of picture,green trees on right
936,A,37846,3,tall phallic tomb,lamp post up,tree on right,lamp post up
939,A,37846,5,front left gravestone,bottom left side of picture,bottom left corner,bottom left side
942,A,37863,1,chair left,white shirt,water on left corner,white shirt
945,A,37923,3,charles,any part of building,ground bottom left,building
948,A,38167,1,right buildin lota windos,tall building on right,building on right,tall building on right
951,A,3821,2,train,sky,group of people,sky
954,A,3838,11,papyas on top right,top right hand side,grass on left,top right of pic
957,A,3843,6,kid hat,man on right,second from right,far right
960,A,38776,5,girl in blue and pink center right,blue shirt guy on right,tree on left,person in blue shirt guy on right
963,A,39017,3,left ostrich,closest to left,tree on left,bottom left
966,A,39117,1,tree left of sign,that looks like you,tree on left,that looks like you
969,A,39140,1,waterfall,green bush on left,tree trunk on left,water
972,A,39229,4,white tree branch,tree on left,man in front,tree on left
975,A,39503,1,click center,tree on left,tree on left,brick wall
978,A,39589,1,pond,water on right,water at bottom,water
981,A,39617,1,anywhere on the buss,road,people,any part of pic
984,A,39625,1,building,in middle,any of people,trees
987,A,39679,4,qhite taxi,2nd from left of red,people on left,red car
990,A,39694,4,red flag,red thing on right,wall on right,far right
993,A,39806,1,water in front,blue part of water,water on left,water to us
996,A,39860,1,bird,patch of picture,tree on right,water
999,A,40013,1,road,ground bottom right,ground bottom left,bottom
1002,A,40086,3,mountains on the back left,mountain range in middle,trees on left,mountain range just to left
1005,A,4011,2,tilted boat,man in front,tree on left,in front
1008,A,40188,1,bear,two guys head,tree on right,green
1011,A,40190,1,animal,top of pic,tree on right,top
1014,A,40193,2,animal on ground,rock on right,tree on right,rock on right
1017,A,40194,1,animal,big rock wall,trees on right,top
1020,A,40195,2,furry thing,top left side of pic,tree on right,top left
1023,A,4022,1,bird,right,people,right
1026,A,40316,2,building not steps,building,people,any of building
1029,A,40416,1,building inmiddle,building on bottom,tree on right,bottom left
1032,A,40430,4,boat to the right of the big boat,boat closest to right,tree on right,boat closest to right of lady in center
1035,A,40500,3,tree bottom left,tree on left,bottom left corner,tree on left
1038,A,40547,1,flag,person on left,person on left,left
1041,A,40600,1,2003 horse,guy,trees on left,in front
1044,A,40653,1,large animal,in front of pic,tree on left,left corner
1047,A,40682,3,bird,big tree on left,tree on left,blue
1050,A,4092,3,ferry,that is,any part of people,building
1053,A,4106,9,pink lady,all way in front,person in red,in front
1056,A,4121,8,kid in the grey sweater on the right,man in front,any of people,man in front on right next to us
1059,A,4123,4,middle boy in blue,person in middle,sky top left,person in blue shirt
1062,A,4220,4,bottom center,ground bottom right,ground at bottom,bottom right
1065,A,4227,2,oval shaped cactus pplant on the right,very top right,tree on right,rocks at very top right of people
1068,A,4255,4,white shirt,man in front,person on left,white shirt
1071,A,4257,9,Giant red thing,water at top right corner,grass on right,guy in middle
1074,A,4262,6,middle lady's sweater,yellow shirt guy in middle,man on left,man in middle
1077,A,4272,1,right tree,tree on right,tree on right,bottom right
1080,A,4491,2,fence,bottom of pic,ground bottom left,bottom
1083,A,4561,3,seal in the front of the picture,man on left,man in middle,man in front of picture on left
1086,A,4570,1,teeth,rocks,building,rocks
1089,A,4595,10,you had it correct!! the greed white and red flag on the RIGHT,red bag on right corner,guy in front,whatever is holding bag on bottom right corner of red and to us
1092,A,4638,19,stone ledge bottom left,bottom left corner,person on left,bottom left of pic
1095,A,4640,1,pink bed,ground at very bottom left,ground bottom left,ground bottom
1098,A,4640,6,bed on upper right,all way right,tree on right,all way to right
1101,A,4697,4,boy all the way on left,blue shirt guy in middle,guy on left,guy in blue hat on left
1104,A,4785,6,lamp,red shirt,tree on right,wall
1107,A,4841,1,flower far left,bush on left,guy in front,bush on left
1110,A,4852,1,flower,road,tree next to right,road
1113,A,4872,8,green food,2nd from right,man on right,on right
1116,A,4875,3,upper rightmost leaf,top right corner,tree on right,top right corner
1119,A,4883,3,yellow fruit behind top piece of yellow fruit,yellow jacket lady in front,grass on right,lady in front of big leaf top right
1122,A,4900,1,bed,girl on bottom right,people,right
1125,A,4920,1,circle sign,guy in middle,people on left,yellow sign
1128,A,4951,5,llama far back,second from right,second from right,second from right
1131,A,4956,4,mountain ontop the lake,mountain range in background,mountain in middle,mountain range in background
1134,A,4973,2,middle bird facing down,closest to left,person on left,bush next to left
1137,A,5033,3,roof thingy,top left,tree on right,top left
1140,A,5153,2,bird,top left,building on left,left
1143,A,5201,2,bus,brick wall on right,people on right,people
1146,A,57,3,very left trees,palm tree on left,tree on left,tree on left
1149,A,6215,5,very top bundle,grass next to right,grass on right,top right corner
1152,A,6252,3,dog,closest to left,grass on right,left
1155,A,6268,1,whatever that is lol,face,building,face only on right
1158,A,6349,3,right plate,brown thing on far right,chair on right,bottom right
1161,A,6356,2,buliding,white building,people,building
1164,A,6357,3,huge boat,sky top of pic,sky top left,sky top
1167,A,6412,2,right lady,white thing on right,tree on right,far right
1170,A,6493,5,farthest board to the right,closest to us,tree on right,empty seat closest to us
1173,A,6666,1,water,water on left corner,water on left,water
1176,A,6889,3,water,sky,sky,sky
1179,A,7002,7,tomato left left side one,second from left,second from left,person in front of pic
1182,A,7013,2,Only animal.,second from left,person on left,bottom left
1185,A,7023,6,yellow sign with red words on bus,2nd from right corner,bottom right corner,2nd from right next to last one
1188,A,7062,5,coke bottle left,tree on left,water on right,closest to us
1191,A,7063,4,hay in front,man in front,ground bottom right,man in front
1194,A,7065,7,girls outfit,woman wearing red,person in front,little girl
1197,A,7067,5,left building,bottom left,person on left,bottom left
1200,A,7094,5,ketchup,water on right,person on right,water
1203,A,7139,6,center animal,person in front,second from left,on left
1206,A,7154,4,paper on top of control,woman in back,snow on left,white part of blue shirt
1209,A,7158,6,llama looking right in the middle,click on left,water on right,furthest away facing us on left
1212,A,719,6,boy bottom left,man on left,man on left,man on left
1215,A,7235,3,tent in front of the building in middle,tallest palm tree on right,person on right,palm tree on right of house in middle
1218,A,726,11,girl on far left in front,person in front,person on left,person in black bag on left
1221,A,7366,4,window on left,building on left,trees on left,building on left
1224,A,7406,2,left child,all way to left,tree on left,on left
1227,A,7409,2,columns,big building,sky,building
1230,A,7442,5,island on the left,left of picture,water on left,water to left corner
1233,A,7452,1,anywhere,any part of picture,people,anywhere
1236,A,7475,1,middle water fall,tree on left,man on right,tree on left
1239,A,7479,4,water bvottle,person in front,water on left,blue shirt
1242,A,7504,10,haha! onion/leaks in back,top left corner,person on left,top left of pic
1245,A,7504,4,purple fruits,2nd from right side,man in front,on right
1248,A,7505,9,any of the plates on the table,man on right,bottom left corner,man in red jacket and orange shirt
1251,A,7519,9,right bike,guy in front,guy in front,bike wheel
1254,A,7552,5,dude in blue,blue shirt guy in middle,person on left,person in middle
1257,A,7654,3,bird,sky clouds,tree on left,sky
1260,A,7676,5,right lamp post,lamp post on right,sky top right,2nd from right
1263,A,767,9,balloons,girl on right,second from right,right
1266,A,7684,9,ass of animal in middle,person in back facing away,people on right,person in back facing camera
1269,A,7708,4,girls face,man in middle,man on left,white shirt
1272,A,7747,10,hat far left,person on left,person on right,person on left
1275,A,7748,2,building,building sorry that is sitting,people,building
1278,A,7796,1,LLLAAAAAAMAAAAAAAA,closest to us,tree on right,animal
1281,A,7920,3,that last picture tho... the sticks on the ground on left,rock wall on left corner,tree on left,rock wall on left side of building in background mountain range
1284,A,7983,4,paper in front of girlon bottom left,closest to left,person on right,white shirt on left side of picture
1287,A,7983,9,book middle one,second from left of picture,person on left,second from left
1290,A,8009,4,building,white part of big building,top left corner,building
1293,A,8076,5,lower left balloon,kid in front,trees on left,kid in front
1296,A,8103,3,the statue but not the people,,water,
1299,A,8172,12,red guy left sitting,red shirt guy on left,guy in front,guy in red shirt
1302,A,8200,1,glass,man in front of woman,person on right,man
1305,A,8211,2,lady in checkered shirt,blue shirt guy in front,guy in middle,guy in red shirt
1308,A,8280,5,2nd from right cup in front,boy in front,second from left,empty glass in front of screen
1311,A,8336,4,white pillar left,white thing on left,person on left,second from left
1314,A,8356,2,bikes on top,patch of people on left,sky top right,people on left
1317,A,8368,3,rightmost guy,second from right in middle,rocks on left,on right
1320,A,8374,2,left hill,grassy area on left corner,trees on left,top left
1323,A,8376,1,bike on left,second from left of picture,person on left,second from left
1326,A,8376,2,right bike,man in front,person on right,in front
1329,A,8421,10,brown pillow on left chair,guy on left,grass on left,red shirt guy on left
1332,A,8442,6,half of person left,person on left,person on right,person on far left
1335,A,8473,8,the candle at very bottom right,closest to right,person on right,that is holding bag on right
1338,A,8545,4,big gated window on right of white section,window on right,guy on right,window on far away from right in middle
1341,A,8555,2,mountain,trees on right,trees on right corner,mountain
1344,A,855,4,white board,white wall on right,sky top right,top right
1347,A,8576,9,book next to pink shirt,closest to right,person on right,whatever is sitting on right
1350,A,8587,9,hat right,2nd from right of people,person on right,top right
1353,A,8597,4,left most building,far left,person on left,lamp on left
1356,A,8651,5,pot on baclony far right,closest to right,tree on right,all way to far right
1359,A,8716,7,jug right,beer bottle on right,bottom left corner,on right
1362,A,8751,5,that was it.... plate woman is holding right side blue jacket,whatever is holding up front,bottom right corner,white thing in front of man is holding up top right
1365,A,8758,12,plate in front of bald man front left,all way to left,sky top left,okay so like very bottom left of pic
1368,A,8835,19,front left white paper near yellow book,very bottom left,sky top right,bottom left or whatever that is holding
1371,A,8866,2,mountain,mountain range,water,mountain
